"Pacific.blue"	"Alexa"	"APC"
2093	813	470
3231	661	501
1728	764	545
3096	486	516
2553	841	398
2086	639	470
1624	726	1552
1651	586	492
1951	499	327
1716	754	2730
3108	1013	2573
2199	678	349
2536	763	2351
1329	832	447
2047	686	406
2686	765	2029
2220	594	448
838	657	2609
2325	769	2721
1481	632	1930
2079	529	376
2121	740	488
2599	581	567
790	543	1844
882	788	2318
2510	746	1780
2570	430	1801
1498	772	2418
2830	577	1872
1317	703	545
771	666	1944
2593	527	2504
3058	750	2314
820	650	1891
2691	818	583
1528	877	563
2777	518	556
1984	808	1688
1419	635	552
1954	514	2352
3188	521	422
3057	1049	497
1871	655	2290
1982	694	1650
3027	497	456
1420	624	451
1507	831	1781
1934	846	1363
2070	644	2506
2669	813	1747
2585	696	2418
1480	698	1976
2366	536	455
778	799	2016
2538	652	1751
3085	911	1728
2615	678	2513
2092	759	1928
1949	658	2466
1497	681	1458
2607	431	1822
1929	696	1879
1580	816	2567
1517	653	2617
2530	540	470
2152	977	2074
3157	341	607
2390	904	1898
1625	856	2603
721	793	2439
853	943	1986
2018	927	2482
1350	498	466
2541	524	432
2762	894	1994
846	766	2059
2296	763	2829
2581	759	2566
1518	803	1991
817	815	2660
862	780	2356
2628	750	2516
2559	1021	2420
887	862	492
1517	718	1736
2005	785	1834
533	583	1568
1449	638	1924
2253	789	452
803	749	2496
3074	473	503
2680	541	1904
3059	459	429
859	705	1912
2030	508	2370
1795	490	413
1995	607	428
804	726	481
2686	456	503
1467	754	2479
706	633	466
685	727	989
772	855	2534
2549	831	2337
821	605	1679
2679	750	1916
2014	634	567
2349	661	353
1439	570	1810
1431	495	309
2136	749	455
2084	726	2471
2675	860	545
444	385	298
890	666	1807
2536	430	398
1508	696	2440
843	828	552
2113	744	1937
850	700	1656
1243	555	439
468	704	473
2006	655	473
2697	756	1975
1670	670	522
2769	631	2632
2085	798	1976
2055	462	2387
1984	504	349
1656	730	2009
2694	897	2687
2446	515	500
2187	645	1900
540	563	1739
1975	831	2432
2442	519	2175
2554	736	522
2110	805	1848
2647	491	2520
745	673	1183
1063	702	1953
2630	641	2424
848	763	2532
1405	606	2618
620	715	361
1509	663	1596
2551	529	1721
2575	808	2486
2058	668	515
669	813	1770
1470	806	1826
2758	531	455
2725	786	1816
2114	917	2445
2021	584	2406
1549	736	447
2164	541	455
1365	633	1958
589	470	424
886	704	526
2082	808	1981
1534	386	526
1467	687	2559
543	488	324
815	830	2052
2612	794	600
1618	696	2652
703	666	2518
1749	958	2705
2723	844	1926
2106	701	443
2536	566	2489
2523	628	2431
728	683	2467
1684	859	585
1386	559	571
2034	700	2507
887	697	2035
2216	808	2518
676	873	2176
572	640	383
2551	475	2417
879	668	2429
1481	535	2513
681	632	1486
894	615	1996
2517	847	2470
2548	584	2323
2817	687	2690
1235	698	515
2737	431	2503
805	725	2626
1978	501	2414
1549	736	1923
1593	556	1684
2550	656	643
841	546	2368
1922	707	1865
2150	847	2031
538	673	2510
1525	632	607
888	741	1841
1507	709	585
844	864	2719
841	706	481
888	744	2520
2005	560	2407
2484	627	2334
2099	876	2630
3236	571	2594
2075	808	1852
1994	511	394
2174	863	1974
3247	942	1700
2647	368	2477
2511	516	522
1589	748	533
2039	496	533
1336	700	473
802	838	2629
605	595	2069
2155	657	1943
2002	706	2553
495	660	432
3235	673	466
933	598	1612
581	560	2601
2701	247	1973
1957	888	473
2615	448	2422
2559	527	1797
2046	561	428
2092	606	2530
1441	628	1855
3263	977	2555
2028	725	2393
2059	804	1927
954	935	2645
2954	903	2131
2112	462	2470
1854	517	2382
2992	637	361
1680	608	1829
875	636	1874
1377	685	387
2584	732	1850
1986	634	2364
3296	923	2738
1259	456	458
3248	665	1905
3146	515	2494
3218	412	2497
1411	575	428
2312	578	1107
1937	708	1546
1618	939	2664
541	591	485
2799	913	455
788	743	451
2012	749	545
1526	711	2509
671	758	2661
2875	657	563
1460	780	2695
2713	319	1909
600	748	2469
656	500	2614
2710	822	2438
723	824	2495
804	843	2579
2027	726	1832
1943	513	346
2205	837	2175
476	735	2568
2198	800	2770
983	517	2530
2033	642	458
2626	616	324
1687	773	2054
782	506	1056
489	619	406
1995	755	500
827	822	1708
1927	791	2434
1609	697	2581
1658	734	2786
2723	320	413
930	678	2397
2657	624	439
743	787	458
746	726	2571
750	744	492
1974	453	376
753	693	2535
2464	754	455
1361	431	1261
2593	952	1962
428	469	394
2204	781	2654
1228	255	316
2089	893	1937
2434	890	437
1634	726	2704
1894	696	2239
1992	635	2569
1389	740	409
3267	1016	1968
2442	440	417
1342	577	488
2086	540	421
2626	1007	2507
2547	844	556
1437	475	481
1684	580	1955
2091	634	533
851	879	2659
617	713	1860
3169	773	477
1424	710	458
2716	530	2575
1339	669	428
2028	588	2494
2078	536	443
911	550	2506
1362	613	1685
1135	602	518
605	539	585
544	824	1979
2700	747	2063
1963	719	2322
2094	605	398
2519	925	2449
1546	786	2645
1981	606	530
2074	760	2566
2546	356	2349
2575	874	1473
1968	756	448
711	659	338
3136	346	2485
780	638	349
2552	673	444
1448	827	522
2009	881	1909
1832	410	2264
874	785	2641
3118	969	1950
1940	645	1760
2475	925	2410
1573	768	1728
1127	682	391
3162	1018	2576
757	668	383
2980	543	2034
1985	647	515
2180	716	1911
1431	728	327
806	756	1912
1214	659	462
2114	814	496
1677	757	2675
2670	763	694
2137	867	2668
2751	673	1853
2104	417	1999
1967	744	436
2027	591	1807
2012	519	2421
1060	566	451
529	522	1641
2033	650	2565
2690	623	455
1646	921	611
2548	739	402
1494	406	1603
1948	637	1738
2786	676	1333
1598	662	1714
808	788	522
973	642	2618
2177	944	545
2032	760	1919
761	560	2580
837	702	537
2565	651	955
2585	659	372
2200	424	436
587	607	2406
1971	846	2442
1337	535	1788
834	737	1652
1538	681	2623
886	724	481
1492	759	2446
1553	793	2045
3186	733	2416
3076	252	545
1516	669	556
1026	543	1545
1413	773	417
2595	457	2407
2079	850	2519
754	551	455
2300	665	1985
1496	766	1821
883	569	1638
913	1005	2120
1461	589	1900
1872	711	1664
2683	586	2579
2639	639	1791
3231	1071	1851
2543	776	2409
2975	685	387
2090	786	2512
542	806	466
1897	850	2352
1441	555	455
2117	648	1734
752	663	492
1951	1006	2404
455	499	255
2129	644	443
692	623	1795
635	573	2486
738	581	2391
1385	577	346
2108	676	987
3203	1069	2600
1619	736	2649
2701	387	452
2169	901	2062
3037	809	455
3019	751	2377
1615	838	2631
803	632	2047
873	777	1798
1250	690	477
3205	970	1892
1491	909	618
2561	373	2356
1682	801	1994
2175	912	2638
2131	861	2565
3014	866	1999
1386	805	2662
666	820	2613
2104	759	1758
2050	537	522
1554	709	1826
2653	725	545
3255	241	1930
2633	383	1866
2686	990	364
3092	982	1673
3218	720	1984
673	492	2646
1021	774	1946
2292	622	2010
1973	699	447
742	708	1820
1854	703	600
3093	258	2401
660	729	1812
921	594	417
804	731	589
3142	855	2481
2714	597	436
1470	723	2627
652	782	2555
3089	989	1839
1755	711	2088
1665	637	503
1981	711	2479
971	943	1594
1614	678	1914
2608	439	2465
1677	894	1929
743	503	413
2066	612	2211
800	827	2683
3357	582	2781
1614	775	2726
567	577	582
812	851	455
2415	643	2039
2529	348	1739
2556	886	522
1426	691	2610
1047	847	1925
2569	696	1600
701	718	1859
2108	857	2019
943	665	383
1960	797	1687
758	689	2405
2174	692	2634
1970	680	2347
2409	639	1626
3098	990	1633
1329	781	530
2572	760	1840
3144	385	2524
919	730	2457
2526	842	1839
1614	669	2680
2163	729	2576
847	475	2426
1710	758	1464
2530	894	1862
1416	832	2104
2468	518	625
790	764	1912
672	707	1790
1850	953	2181
1501	791	1869
1008	758	2647
2118	837	2511
1570	765	1723
3273	584	1987
2590	875	1909
1476	709	2036
2618	672	1967
2898	1071	1273
589	635	2644
2015	544	2434
539	629	394
1236	668	1755
2766	989	533
2739	510	473
2574	280	398
2042	643	1890
3180	542	439
954	691	1753
1887	682	481
826	771	1971
2096	759	2348
2255	930	2331
597	645	2444
1277	606	1157
2602	643	1800
2639	877	2039
1554	889	1774
2601	821	1807
3052	991	2433
2893	627	2705
2577	501	2351
2868	380	2835
1994	446	223
610	710	2373
2693	493	1866
2084	682	291
2791	812	2027
1411	679	1800
1443	645	1929
2442	939	481
3144	863	1904
669	660	402
1402	564	455
2296	606	2070
3060	560	1703
2229	725	2452
889	704	1662
901	681	470
712	731	1861
2670	756	447
1644	815	1963
2204	815	1987
2192	570	1812
2709	420	2563
1508	748	428
1728	814	2085
2461	656	1705
574	766	578
3122	413	2411
1302	873	1828
1410	522	1697
766	727	492
2482	891	2305
568	678	2314
2503	698	2374
708	811	481
1589	755	2622
705	709	428
2462	780	455
1440	686	1789
1371	646	466
1340	541	424
1988	632	1566
1223	550	402
2686	545	507
2575	676	1857
2793	645	2074
1508	774	1895
1368	919	537
3234	755	2583
2635	692	1866
2152	478	1914
1236	714	496
2427	914	2258
2562	500	1772
3072	1073	2492
1857	690	455
1329	551	1647
2325	944	2433
2667	782	2498
2714	308	496
3082	484	2482
934	737	1903
2525	941	1863
734	682	338
2530	628	1765
802	624	2623
2534	826	1687
2120	545	2466
1399	659	2427
1516	568	1634
2039	584	462
1521	692	2610
1784	871	421
2598	908	473
2508	841	2452
2194	719	713
752	658	462
2260	540	2607
2696	378	470
2096	536	2583
942	780	1812
3084	830	485
1925	644	600
2102	879	1922
700	639	409
667	849	2001
2641	760	1753
826	742	548
2771	798	2583
1097	882	2553
511	514	276
2022	769	1851
1880	501	2043
2567	223	500
2598	907	2554
3157	923	471
2997	996	1695
1794	766	1989
2766	604	1903
2385	750	349
2640	724	1814
825	877	1810
2067	689	604
2259	847	2679
813	722	1881
1468	762	1770
2499	826	2392
2629	612	1873
519	407	1626
1993	697	2443
2220	782	2029
1403	836	1644
845	731	466
802	838	567
1804	678	1916
2012	729	1658
1579	577	2652
3027	664	548
2284	710	2635
378	710	451
2728	312	556
2635	534	417
836	788	2590
2529	772	2376
3091	830	2529
2996	799	2293
3034	962	452
1665	695	2656
574	541	2507
2148	703	413
1583	717	2709
2570	781	1788
2583	815	346
1984	663	1767
1498	772	477
1619	780	2639
3082	451	346
2616	444	406
803	779	526
783	759	331
2512	669	1519
2080	690	571
1366	608	2555
1389	699	1723
1316	795	473
1623	933	2618
792	795	615
1977	784	1717
764	678	1898
2575	948	2406
1709	695	2814
658	855	477
790	574	2521
1625	780	2707
1525	674	458
2009	596	2468
853	776	1814
1547	764	1984
3059	776	1701
961	911	2674
545	642	1747
2163	935	2529
1544	732	1833
1615	686	2724
2220	722	2052
3119	691	402
2099	591	1797
944	865	2457
704	656	2308
2264	766	421
861	815	1849
1352	741	1614
2127	765	391
1409	838	2251
2143	651	409
2059	505	571
2002	684	1690
2053	623	2564
1604	856	1887
2103	786	1909
1223	594	402
2525	900	2392
1622	847	2628
2540	988	1821
1476	683	1809
2110	769	2565
1648	592	2791
1236	599	376
1984	819	2503
1933	561	2431
1487	513	1698
2771	442	2021
1193	433	1680
1486	597	2565
2528	433	424
2607	625	477
918	903	1767
2144	867	2534
2712	977	511
869	781	1412
692	612	1740
2669	470	2464
1440	478	552
2091	713	2385
2257	648	633
796	751	2348
516	805	413
2056	629	1754
2623	727	1896
1615	842	518
2970	783	448
872	713	2101
530	760	470
2596	533	471
888	813	548
3346	536	516
3046	743	533
699	831	1815
3259	772	2577
2684	807	1919
2018	644	2523
1659	798	2766
2720	734	1890
526	765	1991
3034	319	477
2550	568	2437
1285	562	338
2816	682	2534
2503	982	2381
1597	739	488
1935	750	2347
1614	734	2467
984	822	2570
568	709	2553
879	626	2038
1366	679	2533
499	648	1743
1463	639	2669
2430	764	466
2165	903	2679
893	895	2608
2742	814	2596
2706	389	1893
2120	842	1872
1340	740	402
2160	759	432
2094	535	518
2934	724	1278
3162	1073	391
1577	769	2697
1534	676	2631
2657	378	1821
2356	791	1256
1504	917	1983
2066	965	1824
2647	471	2625
1493	649	1797
1949	1067	1684
2044	655	485
468	527	2379
3098	378	2498
1651	562	1836
3056	167	2359
1957	657	1422
1457	743	1811
1646	796	2009
2157	604	2447
1432	881	2619
1498	796	455
2203	769	1909
757	721	2026
1454	704	2680
2620	683	448
1524	697	1871
2794	694	2033
2204	797	1988
817	759	1978
1256	725	1202
1791	542	1856
2497	638	1701
2966	774	1334
709	837	1950
1584	451	1975
